Year,Day,DOY,Dec_day,Hour,Minute,E153,E158,E159,E161,T13,T14,T21,T22
1999,150,150,150,0,0,0.246,,0.000,0.308,0.302,,0.288,0.715
1999,150,150,150.021,0,30,0.395,,0.000,0.294,0.131,,0.214,0.390
1999,150,150,150.042,1,0,0.511,,0.000,0.201,0.216,,0.093,0.356
1999,150,150,150.063,1,30,0.270,,0.000,0.283,0.216,,0.268,0.402
1999,150,150,150.083,2,0,0.171,,0.000,0.294,0.146,,0.206,0.474
1999,150,150,150.104,2,30,0.395,,0.000,0.186,0.101,,0.035,0.282
1999,150,150,150.125,3,0,0.305,,0.000,0.208,0.166,,0.058,0.232
1999,150,150,150.146,3,30,0.355,,0.000,0.208,0.171,,0.206,0.325
1999,150,150,150.167,4,0,0.355,,0.000,0.133,0.106,,0.187,0.334
1999,150,150,150.187,4,30,0.906,,0.000,0.140,0.312,,0.051,0.523
1999,150,150,150.208,5,0,1.463,,0.000,0.337,0.427,,0.066,0.746
1999,150,150,150.229,5,30,1.349,,0.000,0.735,1.040,,0.226,1.099
1999,150,150,150.25,6,0,1.629,,0.000,1.065,1.020,,0.615,1.319
1999,150,150,150.271,6,30,1.586,,0.016,1.093,1.281,,0.852,1.446
1999,150,150,150.292,7,0,1.651,,0.009,1.082,1.281,,0.658,1.319
1999,150,150,150.312,7,30,2.053,,0.357,1.735,1.553,,1.163,1.628
1999,150,150,150.333,8,0,1.807,,0.345,1.846,2.070,,1.261,1.858
1999,150,150,150.354,8,30,2.237,,0.063,1.484,1.553,,0.899,1.489
1999,150,150,150.375,9,0,2.024,,0.038,1.265,1.759,,0.646,1.560
1999,150,150,150.396,9,30,1.901,,0.138,1.606,1.528,,1.163,1.319
1999,150,150,150.417,10,0,1.404,,0.138,0.814,0.930,,0.759,1.080
1999,150,150,150.438,10,30,1.651,,0.069,0.799,0.714,,0.603,0.938
1999,150,150,150.458,11,0,1.607,,0.022,0.986,0.824,,0.712,1.446
1999,150,150,150.479,11,30,0.985,,0.611,0.326,0.487,,0.537,0.854
1999,150,150,150.5,12,0,1.568,,1.022,0.896,0.794,,0.603,1.446
1999,150,150,150.521,12,30,1.901,,1.298,1.373,1.216,,0.965,1.446
1999,150,150,150.542,13,0,1.607,,2.016,1.824,1.809,,1.144,1.808
1999,150,150,150.562,13,30,1.857,,1.408,1.373,1.302,,1.105,1.446
1999,150,150,150.583,14,0,2.053,,1.552,1.756,1.653,,1.000,1.539
1999,150,150,150.604,14,30,2.079,,1.740,1.505,1.508,,1.202,1.780
1999,150,150,150.625,15,0,2.079,,1.771,1.670,1.482,,1.016,1.235
1999,150,150,150.646,15,30,1.695,,1.144,1.215,1.281,,0.883,1.297
1999,150,150,150.667,16,0,1.349,,1.379,0.896,0.779,,0.805,0.938
1999,150,150,150.687,16,30,1.164,,0.865,0.634,0.764,,0.514,0.715
1999,150,150,150.708,17,0,1.114,,0.705,0.477,0.598,,0.428,0.548
1999,150,150,150.729,17,30,1.099,,0.824,0.552,0.503,,0.409,0.938
1999,150,150,150.75,18,0,1.061,,0.765,0.405,0.543,,0.280,0.854
1999,150,150,150.771,18,30,0.548,,1.069,0.509,0.427,,0.385,0.777
1999,150,150,150.792,19,0,0.425,,0.784,0.294,0.261,,0.323,0.523
1999,150,150,150.813,19,30,0.289,,0.611,0.201,0.186,,0.261,0.415
1999,150,150,150.833,20,0,0.289,,0.630,0.186,0.131,,0.214,0.245
1999,150,150,150.854,20,30,0.217,,0.530,0.140,0.106,,0.093,0.272
1999,150,150,150.875,21,0,0.270,,0.417,0.029,0.156,,0.047,0.198
1999,150,150,150.896,21,30,0.061,,0.511,0.082,0.166,,0.125,0.245
1999,150,150,150.917,22,0,0.162,,0.345,0.111,0.055,,0.058,0.136
1999,150,150,150.937,22,30,0.143,,0.169,0.093,0.040,,0.051,0.146
1999,150,150,150.958,23,0,0.094,,0.226,0.100,0.060,,0.070,0.056
1999,150,150,150.979,23,30,0.162,,0.204,0.043,0.000,,0.023,0.012
1999,151,151,151,0,0,0.162,,0.201,0.007,0.015,,0.000,0.080
1999,151,151,151.021,0,30,0.145,,0.354,0.022,0.101,,0.078,0.115
1999,151,151,151.042,1,0,0.145,,0.260,0.111,0.045,,0.086,0.130
1999,151,151,151.063,1,30,0.110,,0.508,0.133,0.095,,0.125,0.192
1999,151,151,151.083,2,0,0.092,,0.492,0.133,0.116,,0.047,0.201
1999,151,151,151.104,2,30,0.162,,0.310,0.140,0.040,,0.035,0.158
1999,151,151,151.125,3,0,0.123,,0.342,0.100,0.065,,0.043,0.093
1999,151,151,151.146,3,30,0.162,,0.260,0.125,0.045,,0.019,0.130
1999,151,151,151.167,4,0,0.154,,0.273,0.075,0.045,,0.000,0.102
1999,151,151,151.188,4,30,0.105,,0.310,0.111,0.126,,0.043,0.158
1999,151,151,151.208,5,0,0.039,,0.458,0.054,0.035,,0.004,0.102
1999,151,151,151.229,5,30,0.118,,0.235,0.022,0.020,,0.043,0.087
1999,151,151,151.25,6,0,0.215,,0.342,0.054,0.020,,0.023,0.149
1999,151,151,151.271,6,30,0.509,,0.367,0.172,0.070,,0.023,0.502
1999,151,151,151.292,7,0,0.748,,0.398,0.262,0.176,,0.140,0.526
1999,151,151,151.312,7,30,0.950,,0.539,0.315,0.261,,0.156,0.749
1999,151,151,151.333,8,0,1.230,,0.329,0.391,0.452,,0.261,0.721
1999,151,151,151.356,8,32,1.399,,0.492,0.412,0.477,,0.214,0.842
1999,151,151,151.376,9,2,1.042,,0.527,0.473,0.417,,0.233,0.721
1999,151,151,151.397,9,32,1.175,,0.414,0.505,0.312,,0.261,0.635
1999,151,151,151.418,10,2,1.094,,0.367,0.369,0.347,,0.288,0.647
1999,151,151,151.439,10,32,1.377,,0.508,0.563,0.337,,0.323,0.765
1999,151,151,151.46,11,2,1.461,,0.627,0.692,0.573,,0.525,0.994
1999,151,151,151.481,11,32,1.897,,1.163,1.276,1.266,,0.883,1.387
1999,151,151,151.501,12,2,1.669,,1.520,1.427,1.141,,0.984,1.474
1999,151,151,151.522,12,32,2.204,,1.875,1.753,1.467,,1.339,1.495
1999,151,151,151.543,13,2,1.825,,1.646,1.348,1.307,,1.183,1.520
1999,151,151,151.564,13,32,1.713,,2.019,1.520,1.538,,1.447,1.635
1999,151,151,151.585,14,2,1.759,,1.947,2.104,1.869,,1.518,1.839
1999,151,151,151.606,14,32,1.969,,1.520,1.731,1.633,,1.105,1.635
1999,151,151,151.626,15,2,1.919,,1.270,1.297,1.417,,1.183,1.322
