Year,Day,DOY,Hour,Irradiance,Temp,Rain,Wind,Rel_hum,SD
1999,1,1,0,0,6.4,0,1.9,60.2,3.821
1999,1,1,1,0,6.2,0,1.9,61,3.693
1999,1,1,2,0,6.4,0,1.6,61.3,3.715
1999,1,1,3,0,6.2,0,1.6,61,3.693
1999,1,1,4,0,6.4,0,1.3,60.2,3.821
1999,1,1,5,0,7.1,0,1.7,57.6,4.271
1999,1,1,6,0,6.9,0,1.9,59.7,4.004
1999,1,1,7,0,6.4,0,1.5,61.3,3.715
1999,1,1,8,0,5.8,0,0.9,63,3.408
1999,1,1,9,0,6.6,0,0.8,65.8,3.329
1999,1,1,10,0,7.2,0,1.2,74.5,2.587
1999,1,1,11,190.08,7.3,0.2,2.4,85.1,1.522
1999,1,1,12,613.44,8.4,0,2.4,79.6,2.246
1999,1,1,13,1252.8,8.7,0,1.3,70.3,3.337
1999,1,1,14,1529.28,9.5,0,1.2,66.6,3.961
1999,1,1,15,708.48,8.7,0,1.4,66.7,3.741209328
1999,1,1,16,708.48,8.9,0,1.1,63.4,4.167982297
1999,1,1,17,172.8,8.6,0,1.5,66.4,3.749427538
1999,1,1,18,0,7.6,0,1.3,70,3.127475515
1999,1,1,19,0,7.5,0,0.9,71.1,2.992277895
1999,1,1,20,0,6.8,0,1.2,72.7,2.694130023
1999,1,1,21,0,6,0,1,75.7,2.269283704
1999,1,1,22,0,5.6,0,1.3,80.9,1.734882148
1999,1,1,23,0,5.8,0,1.1,83.8,1.492036802
1999,2,2,0,0,5.7,0,1,85.2,1.353672236
1999,2,2,1,0,5.3,0,1.4,86.4,1.209804008
1999,2,2,2,0,5.3,0,1.1,86.4,1.209804008
1999,2,2,3,0,5.9,0,0.8,85.4,1.354027902
1999,2,2,4,0,6,0,0.8,82.7,1.615580579
1999,2,2,5,0,6.1,0,1.2,82.7,1.626799069
1999,2,2,6,0,6,0,1.8,82.7,1.615580579
1999,2,2,7,0,6.4,0,3.2,83,1.632066342
1999,2,2,8,0,7,0,3,80.9,1.91098855
1999,2,2,9,0,7.4,0,3.3,78.6,2.200629075
1999,2,2,10,0,7.3,0,3.7,77.2,2.3285978
1999,2,2,11,146.88,7.5,0,3.8,78.7,2.205381286
1999,2,2,12,86.4,7.3,0.9,4.4,83.7,1.664743164
1999,2,2,13,0,6.7,1.8,4.3,92.7,0.715468782
1999,2,2,14,0,6.9,0.7,4.2,94.2,0.576327744
1999,2,2,15,120.96,7,0.8,3.8,94.2,0.580300188
1999,2,2,16,207.36,7.2,0,3.3,92.9,0.720181755
1999,2,2,17,164.16,7.3,0,4,90.3,0.99067538
1999,2,2,18,0,6.9,0,1.9,91.5,0.844618246
1999,2,2,19,0,6.6,0,2.8,91.3,0.846830624
1999,2,2,20,0,6.4,0,2.3,94,0.576023415
1999,2,2,21,0,6.4,0,2.3,92.6,0.710428878
1999,2,2,22,0,6.9,0,2.5,91.5,0.844618246
1999,2,2,23,0,5.7,1.7,3.2,92.3,0.70427542
1999,3,3,0,0,5,0,3.8,95,0.435575234
1999,3,3,1,0,5,0,4.8,93.5,0.566247804
1999,3,3,2,0,4.9,0,4.9,92,0.692070783
1999,3,3,3,0,5,0,4.6,90.6,0.818881439
1999,3,3,4,0,4.7,0,4,88.9,0.946914347
1999,3,3,5,0,4.4,0,2.7,88.7,0.943926332
1999,3,3,6,0,4.1,0,3.4,88.5,0.940603847
1999,3,3,7,0,3.4,0,3.3,91.3,0.677310349
1999,3,3,8,0,3.3,0,2.7,91.2,0.680264841
1999,3,3,9,0,3.6,0,3,91.4,0.679055808
1999,3,3,10,0,3.9,0.1,3.8,91.5,0.685511416
